reaction,healthy_only,covid_only,shared,n_healthy_active,n_covid_active
HMR_6736,False,False,True,5,4
HMR_6738,False,False,True,5,4
HMR_6740,True,False,False,3,0
HMR_6741,False,False,True,5,4
HMR_6743,False,False,True,5,4
HMR_6745,False,False,True,5,4
HMR_6746,False,False,True,5,4
HMR_6747,False,False,True,5,4
HMR_6748,False,False,True,4,4
HMR_6749,False,False,True,4,2
HMR_6750,False,False,True,5,4
HMR_6751,False,False,True,5,4
HMR_6752,False,False,True,5,4
HMR_6753,False,False,True,3,2
HMR_6754,False,False,True,3,2
HMR_6755,False,False,True,5,4
HMR_6756,False,False,True,5,4
HMR_6758,False,False,True,5,4
HMR_6760,False,False,True,4,3
HMR_6761,False,False,True,4,3
HMR_6762,False,False,True,5,4
HMR_6763,False,False,True,5,4
HMR_6764,False,False,True,5,4
HMR_6765,False,False,True,4,3
HMR_6766,False,False,True,3,2
HMR_6767,False,False,True,3,2
HMR_6768,False,False,True,5,4
HMR_6770,False,False,False,0,0
HMR_6772,False,False,True,5,2
HMR_6774,False,False,True,4,1
HMR_6776,False,False,True,4,1
HMR_6778,False,False,True,4,1
HMR_6782,False,False,True,3,4
HMR_6783,False,False,True,2,2
HMR_6784,False,False,True,3,3
HMR_6785,False,False,True,3,3
HMR_6786,False,False,True,3,3
HMR_6787,True,False,False,3,0
HMR_6789,False,False,True,5,4
HMR_6790,False,False,True,3,2
HMR_6791,False,False,True,4,2
HMR_6807,False,False,True,5,4
HMR_6808,False,False,True,5,4
HMR_6811,False,False,True,5,4
HMR_6813,False,False,True,5,4
HMR_6817,False,False,True,5,4
HMR_6826,True,False,False,2,0
HMR_6829,False,False,True,5,4
HMR_6831,False,False,True,5,4
HMR_6834,True,False,False,2,0
HMR_6838,False,False,False,0,0
HMR_6839,False,False,False,0,0
HMR_6844,False,False,False,0,0
HMR_6845,False,False,False,0,0
HMR_6850,False,False,False,0,0
HMR_6851,False,False,False,0,0
HMR_6874,False,False,False,0,0
HMR_6875,False,False,True,5,4
HMR_6876,False,False,True,5,4
HMR_6877,False,False,True,5,4
HMR_6883,False,False,True,5,4
HMR_6888,False,False,False,0,0
HMR_7628,False,False,True,5,4
HMR_7756,False,False,False,0,0
HMR_8539,False,False,True,2,1
HMR_8794,False,False,True,4,4
HMR_8795,False,False,True,4,4
HMR_8796,True,False,False,2,0
HMR_3875,False,False,True,5,4
HMR_3877,False,False,True,5,4
HMR_3879,True,False,False,5,0
HMR_3881,True,False,False,1,0
HMR_3912,False,False,True,5,4
HMR_3917,False,False,True,3,3
HMR_3919,True,False,False,5,0
HMR_3920,False,False,True,5,4
HMR_3928,False,False,True,4,4
HMR_3995,False,False,True,5,4
HMR_3996,False,False,True,5,4
HMR_4189,False,False,False,0,0
HMR_4302,False,False,True,4,1
HMR_4323,True,False,False,4,0
HMR_5381,False,False,True,5,4
HMR_5385,False,False,True,5,4
HMR_5386,False,False,True,5,4
HMR_5387,False,False,True,5,4
HMR_5389,False,False,True,5,4
HMR_5390,False,False,False,0,0
HMR_5391,False,False,False,0,0
HMR_5418,False,False,True,2,3
HMR_5419,False,False,True,5,3
HMR_6515,False,False,True,5,4
HMR_6519,False,False,True,5,4
HMR_8062,False,False,True,5,4
