sample,rxn_id,rxn_name,gpr,orig_lb,orig_ub,was_active_uptake,is_essential_nutrient,nutrient_label,genes,gene_scores,min_score,max_score,all_below_threshold,removal_cause
Lung_Healthy,HMR_9290,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9292,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9293,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9294,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9295,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9296,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9297,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9300,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9302,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9304,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9305,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9308,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9309,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9310,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9314,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9315,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9316,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9317,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9319,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9320,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9321,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9322,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9323,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9324,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9325,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9326,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9327,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9328,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9329,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9330,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9331,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9332,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9333,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
Lung_Healthy,HMR_9334,,NO_GPR,0.0,1000.0,False,False,,,,,,,NO_GPR (score=0 in tINIT)
